Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8
0.04199564,0.0023942357,0.06958331,0.0023428625,0.11940606,0.003624364,0.68778044,0.0022107307,0.07066237
0.044815432,0.9264357,0.0026936673,0.0026481482,0.0030320433,0.01220637,0.0027404272,0.0026333155,0.0027949032
0.024278076,0.0052714464,0.16174823,0.04364384,0.069891915,0.6811954,0.004941567,0.004482231,0.0045473613
0.0036283194,0.0039152643,0.22260302,0.00421252,0.0037799957,0.27505502,0.1215522,0.31610948,0.0491442
0.04568524,0.34302852,0.004804022,0.039769847,0.10365726,0.42862245,0.005616132,0.02372765,0.0050888783
0.030223157,0.01562563,0.0016848579,0.0076451655,0.0017317309,0.0017369777,0.2911132,0.0016870563,0.64855224
0.6190223,0.0018084178,0.2665217,0.001663643,0.009302845,0.0018483095,0.06216194,0.0024508315,0.035220105
0.004327769,0.13767904,0.03990221,0.004171875,0.7967744,0.004591621,0.0043453723,0.004049449,0.00415838
0.1571349,0.5809384,0.049483724,0.05430005,0.0048555965,0.021721466,0.12207258,0.0046606604,0.0048326585
0.90072125,0.0012806663,0.0013032772,0.0012706355,0.08307606,0.008437381,0.0012948695,0.0013431286,0.0012727601
0.022390751,0.015662981,0.08692858,0.23480725,0.0028834166,0.16000341,0.11301382,0.3607303,0.003579441
0.0014422142,0.0015546673,0.0014071177,0.0013758625,0.023735376,0.019499635,0.31405494,0.028120473,0.6088097
0.15411913,0.15189692,0.01916623,0.0023324713,0.4725548,0.0023150428,0.19302455,0.002274869,0.0023159839
0.03775821,0.071309604,0.6127069,0.033123706,0.0046314774,0.12924267,0.004578783,0.037152376,0.069496214
0.004987038,0.54378057,0.0041615358,0.003945497,0.12216055,0.013270192,0.27826044,0.003885149,0.025548931
0.063955404,0.38587382,0.0016416892,0.008364798,0.0016517777,0.0015653975,0.091062166,0.0015759628,0.4443089
0.28042823,0.12059463,0.0023338045,0.0022173838,0.002615595,0.04979566,0.53757674,0.0021485446,0.002289453
0.038539987,0.07303177,0.01772731,0.0016187149,0.0017346517,0.0016159915,0.8622556,0.0015917011,0.0018843273
0.001823722,0.38301706,0.0017666833,0.0017180729,0.0018380677,0.0017123662,0.16939731,0.0016904176,0.4370363
0.2008979,0.11653908,0.21191189,0.001533448,0.0016062091,0.0014748673,0.45730615,0.007198608,0.0015318473
0.004239024,0.28779227,0.032862946,0.0045434753,0.2845854,0.004292276,0.30609256,0.004089649,0.07150241
0.001847348,0.0017582743,0.0017744568,0.0017135763,0.0016493261,0.015387471,0.20664681,0.0015864614,0.7676363
0.08134375,0.0070302123,0.036292806,0.006175521,0.19259551,0.65753,0.0067593227,0.005819647,0.00645319
0.009220501,0.5566553,0.03808689,0.008016771,0.008474464,0.008025861,0.008920437,0.007954411,0.35464534
0.1360158,0.3856672,0.10124914,0.030792614,0.06062958,0.049044594,0.20346889,0.0017925225,0.031339638
0.0031717892,0.021056196,0.14977784,0.061295092,0.17900617,0.0029825997,0.5671382,0.0125156995,0.0030564296
0.24177803,0.0049003493,0.028080504,0.0045240964,0.32624426,0.0045423266,0.31967506,0.00449976,0.06575563
0.7278377,0.10983963,0.030605046,0.0014659946,0.0014936017,0.0015005282,0.0016494533,0.123940654,0.0016675072
0.022990227,0.12316086,0.004394427,0.004322108,0.004540272,0.0043892153,0.17990379,0.0043458324,0.6519533
0.0049327374,0.6180797,0.0051628742,0.0047538565,0.024206296,0.0047685076,0.004899783,0.0047163186,0.32847995
0.0031509022,0.0031248003,0.1558169,0.28010586,0.19365197,0.23156661,0.12344962,0.0030609842,0.0060723713
